num,en,jp,progression,my
67,68,expense,〔～s〕経費；費用；犠牲,0,0
68,69,structure,構造；体系；構造物,0,0
69,70,adolescent,青年,0,0
70,71,procedure,手順、手続き,0,0
71,72,minimum,最小限度,0,0
72,73,fuel,燃料；勢いを増加させるもの,0,0
73,74,resource,〔通例～s〕資源；〔通例～s〕資金；才覚,0,0
74,75,regulation,規則、規制,0,0
75,76,contract,契約（書）；協定,0,0
76,77,insurance,保険；保険料；保険金,0,0
77,78,employment,雇用、職,0,0
78,79,ban,を（法的に）禁止する；を締め出す,0,0
79,80,vehicle,車、(特に陸上の)乗り物、輸送機関、伝達手段,0,0
80,81,soil,土地，土壌；（悪事などの）温床,0,0
81,82,cargo,(主に船・飛行機の)積荷、貨物,0,0
82,83,aircraft,航空機、飛行機,0,0
83,84,current,現在の；現代の；通用している,0,0
84,85,political,政治（上）の,0,0
85,86,significant,重要な，重大な；意義深い,0,0
86,87,effective,効果的な、有効な,0,0
87,88,military,軍の，軍事（用）の,0,0
88,89,due,予定された；（支払）期日で；しかるべき,0,0
89,90,essential,（～に）必要不可欠な（to/for）；本質的な,0,0
90,91,illegal,違法の、非合法の,0,0
91,92,immune,（～に対して）免疫を持つ（to）；（～を）免れた（from）,0,0
92,93,numerous,非常に数の多い,0,0
93,94,extreme,極端な；極度の，過激な,0,0
94,95,general,全体の、一般的な,0,0
95,96,agricultural,農業の、農耕の,0,0
96,97,overall,総合的な；全体的な,0,0
97,98,additional,追加の、付加的な,0,0
98,99,entire,全体の，全部の（≒whole）；完全な,0,0
99,100,severe,（人・規律・事態・天気などが）厳しい；猛烈な,0,0
100,101,alter,を変える；変わる（≒change）,0,0
101,102,adopt,を採用する；（態度など）をとる；を養子にする,0,0
102,103,vote,投票；投票結果；〔the ～〕選挙権,0,0
103,104,determine,を決定する；を正確に知る,0,0
104,105,enable,（人）が...できるようにする；を可能にする,0,0
105,106,conduct,（調査・実験など）を実施する；を導く,0,0
106,107,direct,を案内する、を指揮する,0,0
107,108,absorb,を吸収する；を併合する；を夢中にさせる,0,0
108,109,imply,を暗に意味する；を必然的に伴う,0,0
109,110,operate,を操作する；機能する；手術する,0,0
110,111,demonstrate,を論証［証明］する；デモをする,0,0
111,112,boost,を押し上げる；を増加させる,0,0
112,113,prove,を証明する；判明する，わかる,0,0
113,114,monitor,を監視する；を傍受する,0,0
114,115,defeat,を負かす（≒beat）；を失敗させる,0,0
115,116,protest,（に）抗議する；を主張する,0,0
116,117,target,（到達・攻撃）目標；的,0,0
117,118,preserve,を保存する；を保持する；を保護する,0,0
118,119,oppose,に反対する；を対抗［対比］させる,0,0
119,120,migrate,移住する；（鳥などが）渡る,0,0
120,121,analyze,を分析する,0,0
121,122,discourage,（人）にやる気をなくさせる；を落胆させる,0,0
122,123,confirm,を確認する；を裏づける,0,0
123,124,intend,を意図する,0,0
124,125,predict,を予言［予測］する,0,0
125,126,extend,を伸［延］ばす；伸びる；及ぶ,0,0
126,127,figure,数字；姿；人物；図表,0,0
127,128,transportation,交通[輸送]機関、輸送,0,0
128,129,institution,機関；協会；施設；制度,0,0
129,130,theft,窃盗（罪）,0,0
130,131,candidate,（～の）候補（者）（for）；志願者,0,0
131,132,mammal,哺乳動物,0,0
132,133,economist,経済学者,0,0
133,134,protein,たんぱく質,0,0
134,135,immigrant,(外国からの)移住者、移民,0,0
135,136,property,不動産、財産、特性,0,0
136,137,fund,〔しばしば～s〕基金，資金,0,0
137,138,habitat,生息地；（人の）居住地,0,0
138,139,symptom,症状；兆候（≒sign）,0,0
139,140,eruption,勃発、噴火,0,0
140,141,quantity,量；分量,0,0
141,142,ad,広告,0,0
142,143,saving,節約、倹約、預金(額)、蓄え,0,0
143,144,territory,領土；（活動の）領域；（動物の）テリトリー,0,0
144,145,threat,脅威；（悪い）兆し；脅迫,0,0
145,146,sufferer,苦しむ人、被災者、病人,0,0
146,147,emission,排気、放出(物),0,0
147,148,executive,重役、幹部、経営者,0,0
148,149,strategy,戦略,0,0
149,150,riot,暴動,0,0
150,151,district,地区；行政区,0,0
151,152,election,選挙,0,0
152,153,medication,(医師が処方した)薬、医薬品、薬物治療,0,0
153,154,breed,を繁殖させる，育てる；繁殖する,0,0
154,155,conflict,争い；論争；不一致,0,0
155,156,productivity,生産性,0,0
156,157,organism,有機体、生物,0,0
157,158,representative,代表者、代理人,0,0
158,159,warehouse,倉庫,0,0
159,160,refund,返金、払い戻し(金),0,0
160,161,tuition,【主に米】 授業料；（個人）指導,0,0
161,162,range,範囲、領域,0,0
162,163,victim,犠牲（者），被害者,0,0
163,164,dose,（薬の1回分の）服用量；放射線の1回の照射量,0,0
164,165,mainland,本土,0,0
165,166,waterfall,滝,0,0
166,167,satellite,人工衛星、衛星,0,0
167,168,evolution,進化、発展、展開,0,0
168,169,prey,獲物；犠牲者,0,0
169,170,bystander,傍観者,0,0
170,171,creature,生き物、(特に人以外の)動物,0,0
171,172,civilization,文明,0,0
172,173,tribe,部族；仲間,0,0
173,174,permission,許可、承認,0,0
174,175,barrier,（～に対する）障壁（against/to）；防壁,0,0
175,176,wage,賃金、給料,0,0
176,177,drone,ドローン、(無線操作の)無人機,0,0
177,178,appearance,外観、出現,0,0
178,179,embassy,大使館；大使一行,0,0
179,180,skeleton,骨格；骨組み；概略,0,0
180,181,wildlife,野生生物,0,0
181,182,potential,潜在的な；可能性を秘めた,0,0
182,183,limited,限定された、わずかの,0,0
183,184,rural,田舎の（⇔urban），田園の,0,0
184,185,advanced,進歩した、前進した、上級の,0,0
185,186,beneficial,有益な、有利な,0,0
186,187,genetic,遺伝子の,0,0
187,188,radical,急進的な；根本的な,0,0
188,189,hostile,敵意のある（⇔friendly 友好的な）,0,0
189,190,fit,健康な、元気な、ふさわしい,0,0
190,191,long-term,長期にわたる、長期的な,0,0
191,192,Arctic,北極の,0,0
192,193,minor,重要でない；小さい,0,0
193,194,risky,危険な,0,0
194,195,complex,複雑な、複合(体)の,0,0
195,196,competitive,競争力のある、格安の、競争の,0,0
196,197,immediate,即座の；当面の；すぐそばの；直接の,0,0
197,198,religious,宗教(上)の、信仰があつい,0,0
198,199,related,関連した、関係のある,0,0
199,200,affordable,手頃な、安価な,0,0
200,201,donate,を寄付する；（臓器・血液）を提供する,0,0
201,202,lessen,を減らす,0,0
202,203,manufacture,を製造する；をでっち上げる,0,0
203,204,commute,通勤［通学］する,0,0
204,205,exaggerate,（を）誇張する；を強調する,0,0
205,206,suspect,ではないかと思う；（人）を疑う,0,0
206,207,acquire,を得る；を習得する,0,0
207,208,reintroduce,(動植物など)をかつての分布域に再導入する、(制度など)を復活させる,0,0
208,209,reschedule,の日時を変更する,0,0
209,210,adapt,適応する；を（～に）適合させる（to）,0,0
210,211,generate,を生み出す；（電気など）を発生させる,0,0
211,212,guarantee,を保証する,0,0
212,213,dump,を投棄する；をどさっと落とす,0,0
213,214,update,を最新のものにする；をアップデートする,0,0
214,215,classify,を分類する；を機密扱いにする,0,0
215,216,acknowledge,"（事実など）を認める（≒admit, accept）；に謝意を表す",0,0
216,217,enforce,を施行［実施］する；を（～に）強制する（on/upon）,0,0
217,218,renew,を更新する；（資源）を再生する,0,0
218,219,overlook,を見落とす；を大目に見る；を見渡す,0,0
219,220,evaluate,を評価する；を査定する,0,0
220,221,commit,献身する；（罪など）を犯す；を投入する,0,0
221,222,argument,議論、口論,0,0
222,223,archaeologist,考古学者,0,0
223,224,reputation,評判；名声,0,0
224,225,fossil,化石；時代遅れの人［物］,0,0
225,226,status,地位；状態,0,0
226,227,contrast,（～との）対照（with/to）,0,0
227,228,workplace,職場,0,0
228,229,equality,平等,0,0
229,230,colleague,（職場の）同僚,0,0
230,231,assistance,援助、支援,0,0
231,232,luxury,ぜいたく（品）；〔形容詞的に〕豪華な,0,0
232,233,outbreak,発生，勃発,0,0
233,234,council,（地方）議会；評議会；（公の）会議,0,0
234,235,pottery,陶器類、焼き物類,0,0
235,236,assignment,任務、宿題、割り当て,0,0
236,237,particle,（微）粒子；ほんのわずか,0,0
237,238,radiation,放射能，放射線,0,0
238,239,priority,優先（事項）,0,0
239,240,content,内容，中身；コンテンツ,0,0
240,241,destination,(旅行などの)目的地、行き先,0,0
241,242,mine,鉱山、地雷,0,0
242,243,injury,傷害、けが,0,0
243,244,lottery,宝くじ、抽選,0,0
244,245,feature,特徴、特集記事,0,0
245,246,labor,労働、労働力,0,0
246,247,diabetes,糖尿病,0,0
247,248,bulb,電球、球根,0,0
248,249,résumé,履歴書[≒CV]、要約,0,0
249,250,mud,ぬかるみ、泥,0,0
250,251,psychology,心理学；心理（状態）,0,0
251,252,corporation,（大）企業；法人,0,0
252,253,ecosystem,生態系,0,0
253,254,promotion,昇進、促進、販売促進,0,0
254,255,administration,管理（部）；行政；政府（機関）,0,0
255,256,complaint,苦情、不平,0,0
256,257,debt,借金，負債；恩義,0,0
257,258,requirement,必要条件、必需品,0,0
258,259,workforce,労働人口，総労働力；全従業員（数）,0,0
259,260,preference,他より好むこと、好み,0,0
260,261,refugee,難民、亡命者,0,0
261,262,inhabitant,居住者、住民,0,0
262,263,subscription,予約購読(料)、寄付(金),0,0
263,264,recipient,受け取る人；（臓器などの）被提供者,0,0
264,265,shift,を変える，移す；変わる；移動する,0,0
265,266,vessel,船舶；容器；（体液が通る）脈管,0,0
266,267,ingredient,材料，成分；（成功の）要因,0,0
267,268,qualified,有能な、資格のある、適任の,0,0
268,269,widespread,広範囲にわたる；広く普及した,0,0
269,270,alternative,代替の、どちらか一方の,0,0
270,271,harsh,厳しい；（光・色・味などが）不快な,0,0
271,272,enormous,莫大な，巨大な,0,0
272,273,specific,明確な、特定の,0,0
273,274,artificial,人工の（⇔natural 自然の）；不自然な,0,0
274,275,toxic,有毒な；中毒性の,0,0
275,276,flexible,融通の利く，柔軟な,0,0
276,277,latest,最新の、最近の,0,0
277,278,former,以前の、元の,0,0
278,279,capable,能力がある；有能な,0,0
279,280,practical,実践的な、実際的な,0,0
280,281,mechanical,機械の；機械的な,0,0
281,282,federal,連邦（政府）の,0,0
282,283,aggressive,攻撃的な；意欲的な,0,0
283,284,adequate,十分な；適切な,0,0
284,285,unexpected,思いがけない，不意の,0,0
285,286,attractive,魅力的な,0,0
286,287,sufficient,"十分な（for ～に, to do ～するのに）",0,0
287,288,costly,費用のかかる、高価な、犠牲[損失、労力]の大きな,0,0
288,289,eventually,ついに(は)、結局(は),0,0
289,290,otherwise,そうでなければ、そのほかの点では,0,0
290,291,previously,以前に,0,0
291,292,relatively,比較的(に)、相対的に,0,0
292,293,consequently,その結果(として)、従って,0,0
293,294,constantly,絶えず、常に,0,0
294,295,typically,通常、概して、典型的に,0,0
295,296,barely,かろうじて、ほとんど～ない,0,0
296,297,despite,～にもかかわらず,0,0
297,298,per,～につき、～ごとに,0,0
298,299,beneath,～の下に[の],0,0
299,300,whereas,～するのに（対し），～する一方,0,0
300,301,post,(インターネットで)(情報・メッセージ)を投稿する、(ビラなど)を張る,0,0
301,302,reject,を拒否する,0,0
302,303,consult,（に）相談する；を参照する,0,0
303,304,obey,に従う；に服従する,0,0
304,305,engage,を従事させる；を（～として）雇う（as）；（～に）従事する（in/with）,0,0
305,306,restore,を回復させる；を修復する,0,0
306,307,colonize,を植民地化する、を入植させる,0,0
307,308,interact,影響し合う；相互に作用する,0,0
308,309,inspire,（人）を奮起させる；を喚起する,0,0
309,310,sue,を告訴する；（～を求めて）訴訟を起こす（for）,0,0
310,311,estimate,～と推定する、を見積もる,0,0
311,312,strengthen,を(より)強くする,0,0
312,313,carve,を彫る；を切り開く；（肉）を切り分ける,0,0
313,314,convince,を納得［確信］させる,0,0
314,315,propose,を提案する；をもくろむ；結婚を申し込む,0,0
315,316,blame,を責める；の責任を負わせる,0,0
316,317,collapse,崩壊する；（人が）倒れる；を折り畳む,0,0
317,318,import,を輸入する；を取り込む,0,0
318,319,load,に積む；に負わせる,0,0
319,320,pollute,を汚染する,0,0
320,321,spot,(特定の)場所、斑点、しみ,0,0
321,322,prescription,処方箋、処方,0,0
322,323,duty,義務；〔しばしば～ties〕職務；関税,0,0
323,324,union,組合、統合、団結,0,0
324,325,concept,概念,0,0
325,326,root,根本、源、(植物の)根,0,0
326,327,survival,生き残ること、生き延びること,0,0
327,328,maintenance,保守、整備、維持,0,0
328,329,formation,形成；構成（物）；隊列,0,0
329,330,educator,教育者、教師,0,0
330,331,kidney,腎臓,0,0
331,332,nutrition,栄養（の摂取）,0,0
332,333,brand,ブランド、銘柄,0,0
333,334,storage,保管、貯蔵(法)、収容力,0,0
334,335,firm,確固たる；堅固な；安定した,0,0
335,336,statistics,統計；統計学,0,0
336,337,toll,損害（の程度）；死傷者数；通行料,0,0
337,338,tip,助言，秘訣；チップ；先端,0,0
338,339,CEO,最高経営責任者,0,0
339,340,circumstance,〔通例～s〕状況，事情；境遇,0,0
340,341,outsider,部外者、門外漢,0,0
341,342,reduction,減少、削減,0,0
342,343,settlement,開拓地、解決、合意,0,0
343,344,divorce,離婚；分離,0,0
344,345,likelihood,可能性、見込み,0,0
345,346,livestock,(牛・羊・豚などの)家畜(類),0,0
346,347,possession,所有物、財産、所有,0,0
347,348,plot,（小説などの）筋；陰謀,0,0
348,349,category,部類，区分；範疇,0,0
349,350,welfare,福祉，幸福,0,0
350,351,moisture,水分；湿気,0,0
351,352,obesity,（病的な)肥満,0,0
352,353,grant,（人）に（許可・権利など）を与える；を認める,0,0
353,354,layer,層,0,0
354,355,secretary,秘書,0,0
355,356,anxiety,不安、心配,0,0
356,357,ownership,所有権、所有者であること,0,0
357,358,foundation,基礎、基盤,0,0
358,359,division,不和、分割、部門、仕切り,0,0
359,360,establishment,設立、制定、組織,0,0
360,361,conservation,（動植物などの）保護；保存,0,0
361,362,murder,殺人,0,0
362,363,presence,存在；出席；面前,0,0
363,364,paradox,逆説；矛盾,0,0
364,365,prisoner,囚人,0,0
365,366,surgeon,外科医,0,0
366,367,frequency,頻度、しばしば起こること,0,0
367,368,port,港,0,0
368,369,reception,反応；宴会；受付；受信（状態）,0,0
369,370,coworker,同僚、仕事仲間,0,0
370,371,rust,さび,0,0
371,372,athletics,スポーツ、運動競技,0,0
372,373,voyage,(ゆったりした長い)旅、船旅,0,0
373,374,ecologist,生態学者、環境保護論者,0,0
374,375,soul,精神；魂，霊魂；生気,0,0
375,376,isolated,孤立した、孤独な,0,0
376,377,biased,偏った、偏見を持った,0,0
377,378,multiple,多様な；種々雑多な,0,0
378,379,critical,批判的な、重大な,0,0
379,380,remote,（～から）遠く離れた（from）；かけ離れた,0,0
380,381,encouraging,勇気づける、望みを持たせる,0,0
381,382,underground,地下の、秘密の,0,0
382,383,stable,安定した；動じない,0,0
383,384,domestic,家庭の；国内の；（動物が）飼いならされた,0,0
384,385,shallow,浅い（⇔deep 深い）；浅薄な,0,0
385,386,willing,～するのをいとわない、快く～する,0,0
386,387,superior,よりすぐれた,0,0
387,388,profitable,利益になる、有益な,0,0
388,389,solid,しっかりした；硬い；固体の,0,0
389,390,tremendous,途方もない，莫大な；すばらしい,0,0
390,391,intellectual,知的な、知性の,0,0
391,392,chief,主な、最高位の,0,0
392,393,steady,着実な，一定の；安定した,0,0
393,394,evil,邪悪な；有害な,0,0
394,395,coastal,沿岸(地方)の,0,0
395,396,dairy,〔集合的に〕乳製品；乳製品加工所［販売者］,0,0
396,397,digestive,消化の,0,0
397,398,loyal,（～に）忠実な（to）；誠実な,0,0
398,399,sensory,感覚の,0,0
399,400,fancy,（気まぐれな）好み；空想；思いつき,0,0
400,401,spoil,を台無しにする；を甘やかす；だめになる,0,0
401,402,stimulate,を刺激する,0,0
402,403,distract,（注意など）をそらす,0,0
403,404,bargain,買い得品；取引；契約,0,0
404,405,emerge,明らかになる、現れる,0,0
405,406,browse,（を）拾い読みする；（を）閲覧する；（商品など）を見て歩く,0,0
406,407,define,を定義する、を明確に示す,0,0
407,408,adjust,を調整する；を適合させる；順応する,0,0
408,409,deserve,に値する,0,0
409,410,undergo,を経験する；（手術など）を受ける；に耐える,0,0
410,411,contradict,と矛盾する；に反対意見を言う,0,0
411,412,withdraw,を引き出す；を撤回する；撤退する,0,0
412,413,accompany,に同行する；に付随する,0,0
413,414,infect,(人)を感染させる、を汚染する,0,0
414,415,rebel,反逆者,0,0
415,416,convert,を変える；を改宗［転向］させる；を交換する,0,0
416,417,calculate,を計算する；を予測する,0,0
417,418,utilize,を利用する（≒make use of）,0,0
418,419,admit,～と(しぶしぶ)認める、を中に入れる,0,0
419,420,punish,を罰する；に損傷を与える,0,0
420,421,approve,賛成する；を承認する,0,0
421,422,owe,に借りがある；のおかげである,0,0
422,423,proceed,進む，進行する；（～を）続行する（with）,0,0
423,424,navigate,（を）誘導する；（を）操縦する；（を）航行する,0,0
424,425,postpone,を延期する（≒put off）,0,0
425,426,swallow,（を）飲み込む；をうのみにする；に耐える,0,0
426,427,tailor,を合わせて作る,0,0
427,428,overhear,を偶然耳にする,0,0
428,429,consequence,結果、重要さ,0,0
429,430,application,申請書、申し込み、適用,0,0
430,431,workout,運動、(運動競技の)練習,0,0
431,432,obstacle,（～に対する）障害（物）（to）,0,0
432,433,treaty,（国家間の）条約；協定,0,0
433,434,deforestation,森林伐採,0,0
434,435,infrastructure,基本的施設；（経済）基盤,0,0
435,436,contribution,貢献、寄付(金),0,0
436,437,congestion,混雑,0,0
437,438,exposure,身をさらすこと、暴露,0,0
438,439,blow,強打、打撃、災難,0,0
439,440,participation,参加,0,0
440,441,crisis,危機、難局,0,0
441,442,ancestor,先祖、祖先,0,0
442,443,architect,建築家、設計者,0,0
443,444,existence,存在、生存,0,0
444,445,deposit,を置く；を預ける；を堆積させる,0,0
445,446,finance,金融、財政(学),0,0
446,447,awareness,認識、意識,0,0
447,448,intake,摂取量；受け入れ数；取り入れること,0,0
448,449,witness,目撃者；証人；証拠，証言,0,0
449,450,coverage,報道、(保険の)補償範囲、適用範囲,0,0
450,451,lawsuit,(民事)訴訟,0,0
451,452,session,集まり；（議会の）会期；（開会中の）議会,0,0
452,453,means,〔単数・複数扱い〕手段；〔複数扱い〕資力，収入,0,0
453,454,pioneer,先駆者、草分け、(未開地の)開拓者,0,0
454,455,satisfaction,満足,0,0
455,456,basis,根拠、基礎,0,0
456,457,element,(構成)要素、成分,0,0
457,458,phenomenon,現象、事象,0,0
458,459,scale,規模、程度,0,0
459,460,journal,(専門)雑誌、日刊[週刊]新聞,0,0
460,461,grain,穀物；粒；きめ,0,0
461,462,continent,大陸、(イギリスから見て)ヨーロッパ大陸,0,0
462,463,headquarters,本社、(軍・警察・会社などの)本部,0,0
463,464,globalization,国際化,0,0
464,465,brochure,パンフレット、小冊子,0,0
465,466,inspection,検査、点検,0,0
466,467,attendance,出席[入場]者数、出席,0,0
467,468,copper,銅,0,0
468,469,dozen,12(個)、１ダース,0,0
469,470,flu,インフルエンザ,0,0
470,471,burial,埋葬,0,0
471,472,mold,鋳型；鋳物；性格；かび,0,0
472,473,patch,（～の）部分，斑点；継ぎ；貼り薬,0,0
473,474,diagram,図(表),0,0
474,475,placement,(就職先・学校・里親などの)斡旋、配置,0,0
475,476,shame,恥；残念なこと,0,0
476,477,wheelchair,車椅子,0,0
477,478,experienced,熟練した,0,0
478,479,initial,初めの,0,0
479,480,mainstream,（活動・思潮などの）主流；大勢,0,0
480,481,appropriate,適切な,0,0
481,482,fake,偽の；見せかけだけの,0,0
482,483,alert,警戒して；敏速な,0,0
483,484,fatal,致命的な、破滅的な,0,0
484,485,nutritious,栄養になる,0,0
485,486,sophisticated,高性能の，精巧な；洗練された,0,0
486,487,automatic,自動の,0,0
487,488,raw,生の；未加工の,0,0
488,489,slight,わずかな；取るに足らない,0,0
489,490,man-made,(物質などが)合成の、人工の,0,0
490,491,aging,高齢化が進む、老朽化している,0,0
491,492,spiritual,精神の（⇔material）；霊的な,0,0
492,493,endangered,(動植物が)絶滅の危機にある,0,0
493,494,sticky,ねばねばの、粘着性の,0,0
494,495,fertile,肥沃な（⇔barren 不毛の）；多産の,0,0
495,496,elsewhere,どこかほかのところへ[に、へ],0,0
496,497,altogether,完全に,0,0
497,498,strictly,厳格に、厳しく,0,0
498,499,beforehand,前もって、あらかじめ,0,0
499,500,likewise,同様に（≒in the same way）,0,0
500,501,detect,を感知する；を見つけ出す；に気づく,0,0
501,502,combat,戦闘；対立,0,0
502,503,pose,（危険）を引き起こす；（問題など）を提起する；（～を）装う（as）,0,0
503,504,emphasize,を強調する；を重視する,0,0
504,505,highlight,を目立たせる，強調する,0,0
505,506,resist,に抵抗する；〔通例否定文で〕を我慢する,0,0
506,507,exceed,を超える；に勝る,0,0
507,508,relocate,(住居・事務所・住民など)を移転[移動]させる,0,0
508,509,disprove,の誤りを証明する、の反証を挙げる,0,0
509,510,crawl,はう；ゆっくり進む,0,0
510,511,foster,をはぐくむ；を養育する；を心に抱く,0,0
511,512,harass,を絶えず悩ます、を苦しめる,0,0
512,513,magnify,を拡大する、を誇張する,0,0
513,514,sneak,こっそり動く,0,0
514,515,stray,はぐれる，（道に）迷う,0,0
515,516,worsen,を悪化させる；悪化する（≒deteriorate）,0,0
516,517,advocate,を主張する；を擁護する,0,0
517,518,evacuate,を避難させる、から立ち退く,0,0
518,519,verify,の正しさを証明［確認］する,0,0
519,520,abuse,乱用；虐待,0,0
520,521,scatter,をまき散らす；分散する,0,0
521,522,endorse,を推奨する,0,0
522,523,modify,を修正する；を緩和する,0,0
523,524,penetrate,（に）浸透する；（に）進出する；（を）貫く；（を）見抜く,0,0
524,525,conform,順応する；一致する,0,0
525,526,leave,休暇,0,0
526,527,tissue,（生物の）組織,0,0
527,528,gut,腸、消化管、内臓,0,0
528,529,lightning,雷、稲妻,0,0
529,530,camel,ラクダ、黄褐色,0,0
530,531,antioxidant,抗酸化物質、酸化防止剤,0,0
531,532,disorder,障害，（心身の）不調；混乱,0,0
532,533,cattle,〔集合的に〕牛,0,0
533,534,oath,誓い、誓約,0,0
534,535,monument,記念碑，遺跡；金字塔,0,0
535,536,heating,暖房(装置),0,0
536,537,germ,細菌、病原菌,0,0
537,538,legend,伝説、言い伝え、伝説的な人物,0,0
538,539,auditorium,(学校の)講堂、公会堂,0,0
539,540,therapy,療法；心理療法,0,0
540,541,heritage,遺産,0,0
541,542,invasion,侵害、侵入,0,0
542,543,instruction,(製品の)使用書、指示、教育,0,0
543,544,extinction,(家系・種などの)絶滅、消滅,0,0
544,545,creativity,創造性、独創性,0,0
545,546,plantation,(熱帯・亜熱帯の)(大)農園,0,0
546,547,drought,干ばつ；（慢性的な）不足,0,0
547,548,wealth,財産、富、豊富,0,0
548,549,reminder,思い出させるもの、記念物[品],0,0
549,550,inquiry,問い合わせ、質問、調査,0,0
550,551,investigation,(詳しい)調査、研究,0,0
551,552,boundary,境界（線）；〔通例～ries〕限界,0,0
552,553,compartment,(列車・客室などの仕切った)区画[部屋],0,0
553,554,substitute,を代わりに使う；（～の）代理をする（for）,0,0
554,555,hybrid,雑種の；混成の,0,0
555,556,characteristic,特徴,0,0
556,557,routine,決まり切った仕事；いつもの手順,0,0
557,558,edge,優勢、刃、端,0,0
558,559,incident,出来事，事件；紛争,0,0
559,560,clue,（～の）手がかり（to/about）；（パズルの）ヒント,0,0
560,561,removal,除去、移動,0,0
561,562,outcome,結果,0,0
562,563,altitude,高度，標高,0,0
563,564,closure,(工場・学校などの)閉鎖,0,0
564,565,compound,を悪化させる；を合成する；を混合する,0,0
565,566,surplus,余剰（⇔shortage 不足），過剰；黒字,0,0
566,567,vaccine,ワクチン,0,0
567,568,reference,言及、参照,0,0
568,569,obligation,義務、責任,0,0
569,570,ritual,儀式；（日常の）習慣的行為,0,0
570,571,mean,意地の悪い、不親切な,0,0
571,572,coral,サンゴ(製)の,0,0
572,573,novel,斬新な、目新しい,0,0
573,574,relevant,関係がある；適切な,0,0
574,575,efficient,効率的な、有能な,0,0
575,576,fragile,壊れやすい；虚弱な,0,0
576,577,impressive,印象的な、感動的な,0,0
577,578,offensive,不快な、攻撃的な,0,0
578,579,distinct,明らかに異なる；明瞭な,0,0
579,580,temporary,一時的な（⇔permanent）,0,0
580,581,arrogant,横柄な，傲慢な,0,0
581,582,spacious,広々とした,0,0
582,583,reasonable,筋の通った、分別のある、(値段などが)手ごろな,0,0
583,584,substantial,(数量などが)かなりの、重要な、実質的な,0,0
584,585,disabled,障害のある；障害者用の,0,0
585,586,straightforward,単純な；率直な,0,0
586,587,tame,飼いならされた，人に慣れた；退屈な,0,0
587,588,mandatory,義務的な、強制的な、命令の,0,0
